latitude,type,name,longitude
36.6921,Load Node,KERMAN_6_N001,-120.06
36.84,Generation Node,PINEFLT_2_B1,-119.32
36.83,Generation Node,PINEFLT_7_B1,-119.31
36.83,Generation Node,PINEFLT_7_B3,-119.31
36.83,Generation Node,PINEFLT_7_B4,-119.31
36.95,Generation Node,HAAS_7_B1,-119
36.95,Generation Node,HAAS_7_B11,-119
36.92,Generation Node,BALCH_2_B1,-119.13
36.94,Generation Node,HAAS_2_B1,-119.01
36.92,Generation Node,BALCH3TP_2_B1,-119.12
36.5451,Load Node,GIFFEN_6_N001,-120.33
36.93,Generation Node,BLCH38751_7_B1,-119.12
36.92,Generation Node,BLCH38750_7_B1,-119.13
36.621,Load Node,SANJOQN_6_N001,-120.18
36.621,Load Node,SANJOQN_6_N006,-120.18
36.5309,Load Node,STROUD_6_N001,-120.1
36.4463,Load Node,CAMDEN_6_N001,-119.8
36.4463,Load Node,CAMDEN_6_N002,-119.8
36.7184,Load Node,WSTFRSO_1_N001,-119.82
36.7184,Load Node,WSTFRSO_1_N004,-119.82
36.4723,Load Node,STONCRRL_6_N001,-119.19
36.4723,Load Node,STONCRRL_6_N003,-119.19
36.6114,Load Node,MCCALL_1_N026,-119.64
36.6114,Load Node,MCCALL_1_N030,-119.64
36.6114,Generation Node,MCCALL_1_N093,-119.64
36.645,Load Node,DUNLAP_6_N001,-119.16
36.52,Load Node,DINUBA_6_N001,-119.39
36.52,Load Node,DINUBA_6_N005,-119.39
35.992,Load Node,ANGIOLA_6_N001,-119.57
36.5448,Load Node,OROSI_6_N001,-119.25
36.5448,Load Node,OROSI_6_N006,-119.25
36.645,Load Node,SANDCRK_6_N001,-119.16
36.6162,Load Node,WAHTOKE_1_N001,-119.45
36.6162,Load Node,WAHTOKE_1_N002,-119.45
36.7706,Load Node,TVYVLLY_6_N001,-119.39
36.59,Load Node,GRDNWEST_1_N001,-119.57
36.48,Load Node,GRDNEAST_1_N101,-119.61
36.48,Load Node,GRDNEAST_1_N102,-119.61
36.52,Generation Node,DINUBAE_7_B2,-119.39
36.52,Load Node,DINUBAE_7_N001,-119.39
36.65,Load Node,AIRPROD_1_N001,-119.54
36.66,Generation Node,ULTPWRJ_1_N001,-119.63
36.6051,Load Node,REEDLEY_6_N001,-119.38
36.7008,Load Node,RANCHRS_1_N001,-119.75
36.6051,Load Node,REEDLEY_1_N001,-119.38
36.7008,Load Node,SCWAX_1_N001,-119.75
36.0851,Load Node,BOSWELL_6_N001,-119.55
36.69,Generation Node,MALAGA_1_B1,-119.58
36.6941,Load Node,MALAGA_1_N001,-119.72
36.6941,Load Node,MALAGA_1_N004,-119.72
36.6941,Load Node,MALAGA_1_N005,-119.72
36.6941,Load Node,MALAGA_1_N206,-119.72
36.1096,Load Node,CORCORAN_1_N001,-119.56
36.1096,Load Node,CORCORAN_1_N005,-119.56
36.4043,Load Node,HARDWICK_6_N001,-119.69
36.7189,Load Node,CALAVE_1_N001,-119.77
36.7189,Load Node,CALAVE_1_N002,-119.77
36.7189,Load Node,CALAVE_1_N004,-119.77
36.7189,Load Node,DANISHCM_1_N001,-119.77
36.5,Load Node,KINGSBRG_1_N001,-119.59
36.5,Load Node,KINGSBRG_1_N008,-119.59
36.7071,Generation Node,SANGERCO_7_B1,-119.61
36.71,Load Node,RAINBOW_1_N001,-119.54
36.7071,Load Node,SANGER_1_N001,-119.61
36.87,Generation Node,KINGSRIV_7_B1,-119.13
36.826,Load Node,CLOVIS_1_N001,-119.68
36.826,Load Node,CLOVIS_1_N101,-119.68
36.826,Load Node,CLOVIS_1_N004,-119.68
